"","GNPSLinkout_Network","LibraryID","MQScore","RTConsensus","RTMean","RTStdErr","SpectrumID","SumPeakIntensity","UniqueFileSourcesCount","componentindex","number_of_spectra","parent_mass","precursor_charge","precursor_mass","sum(precursor_intensity)","V1","V2","V3","sum.precursor_intensity.","Chemical_family","Name","Notes","CF_class","CF_Dparent","CF_NrNodes","CF_subclass","CF_superclass","Compound_Name","id","stat.x","index.x","p.value_gut","groups.x","stat.y","index.y","p.value_diet","groups.y","stat.x","index.x","p.value_kt","groups.x","stat.y","index.y","p.value_host","groups.y","V1","V2","V3"
"1009_447.309_6.38","Connected","N/A","N/A",6.3804,6.3804,0,"N/A",0.017004729,43,82,43,447.309,1,447.309,0.017004729,1009,447.309,6.38,0.017004729,"Triterpenoids","Pellets-10","","no_matches","no_matches",87,"no_matches","no_matches",NA,"1009_447.309_6.38",0.964001609696443,1,0.00294,"s.Foregut",0.809551560521065,2,0.01192,"s.Herbivores",0.983142713963153,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.926993817013573,220,0.00319,"s.Goat,s.Sheep","1009","447.309","6.38"
"1028_449.324_6.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1028_449.324_6.57",0.971203870275871,1,0.00294,"s.Foregut",0.621400526119335,7,NA,"s.Carnivores,s.Herbivores,s.Omnivores",0.955823143027808,3,0.00319,"s.Cetartiodactyla",0.894180692337396,220,0.01595,"s.Goat,s.Sheep","1028","449.324","6.57"
"10281_498.304_4.368","Connected","N/A","N/A",4.3683,4.3683,0,"N/A",0.023210257,23,568,23,498.3042,1,498.3042,0.023210257,10281,498.304,4.368,0.023210257,"Peptides","Cyc. Peptide 1","Cyclic peptides based on NAP/MolNetEnhancer","no_matches","no_matches",34,"no_matches","no_matches",NA,"10281_498.304_4.368",0.635223403166024,3,1,"s.Simplegut",0.511237358145545,6,1,"s.Herbivores,s.Omnivores",0.875595035770913,5,0.00957,"s.Primates",0.932723198120592,152,0.00319,"s.Chimp,s.Gorilla","10281","498.304","4.368"
"10283_605.393_6.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10283_605.393_6.19",0.786795792469443,5,0.5439,"s.Foregut,s.Simplegut",0.962163575366106,1,0.00298,"s.Carnivores",0.786795792469443,23,0.06061,"s.Carnivora,s.Cetartiodactyla,s.Primates",0.58026183498461,244,1,"s.Hyena,s.Tiger","10283","605.393","6.19"
"10292_463.267_4.365","Connected","N/A","N/A",4.365,4.365,0,"N/A",0.018000254,27,568,27,463.2669,1,463.2669,0.018000254,10292,463.267,4.365,0.018000254,"Peptides","Cyc. Peptide 3","Cyclic peptides based on NAP/MolNetEnhancer","no_matches","no_matches",34,"no_matches","no_matches",NA,"10292_463.267_4.365",0.688247201611685,3,1,"s.Simplegut",0.540499364587127,6,1,"s.Herbivores,s.Omnivores",0.845326618573521,5,0.02233,"s.Primates",0.906603330349022,152,0.24244,"s.Chimp,s.Gorilla","10292","463.267","4.365"
"10310_481.277_4.297","Connected","N/A","N/A",4.2972,4.2972,0,"N/A",0.02805664,24,568,24,481.2775,1,481.2775,0.02805664,10310,481.277,4.297,0.02805664,"Peptides","Cyc. Peptide 4","Cyclic peptides based on NAP/MolNetEnhancer","no_matches","no_matches",34,"no_matches","no_matches",NA,"10310_481.277_4.297",0.64888568452305,3,1,"s.Simplegut",0.522232967867094,6,1,"s.Herbivores,s.Omnivores",0.874412308059826,5,0.01276,"s.Primates",0.854654095921044,229,1,"s.Gorilla,s.Mandrill","10310","481.277","4.297"
"10374_433.329_7.132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10374_433.329_7.132",0.88279577905984,1,0.00882,"s.Foregut",0.854607868616843,4,0.00298,"s.Carnivores,s.Herbivores",0.880631995212215,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.606862568289366,213,1,"s.Goat,s.Jungle_cat","10374","433.329","7.132"
"10412_356.293_5.953","Connected","N/A","N/A",5.9529,5.9529,0,"N/A",0.008878892,16,762,16,356.2932,1,356.2932,0.008878892,10412,356.293,5.953,0.008878892,"Bile acids","Deoxycholic acid amide 1","Neighboring node is glycodeoxycholic acid M-2(H2O)+H, delta of 58.005 which is CO2CH2, indicating that this is deoxycholic amide. Two additional peaks are the +H and -1H2O adducts","Steroids_and_steroid_derivatives","Taurinated_bile_acids_and_derivatives",31,"Bile_acids,_alcohols_and_derivatives","Lipids_and_lipid-like_molecules",NA,"10412_356.293_5.953",0.529812942826018,3,1,"s.Simplegut",0.997986311161959,1,0.00298,"s.Carnivores",0.716864449758336,2,0.25201,"s.Carnivora",0.784054868964879,244,1,"s.Hyena,s.Tiger","10412","356.293","5.953"
"10419_392.314_5.953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10419_392.314_5.953",0.512989176042577,3,1,"s.Simplegut",0.998315709991742,1,0.00298,"s.Carnivores",0.690826663568385,2,0.40832,"s.Carnivora",0.783683547192608,244,1,"s.Hyena,s.Tiger","10419","392.314","5.953"
"10444_258.094_0.733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10444_258.094_0.733",0.796819072889596,5,0.89964,"s.Foregut,s.Simplegut",0.922752976930628,1,0.00298,"s.Carnivores",0.896848011912214,10,0.00319,"s.Carnivora,s.Cetartiodactyla",0.773282729149403,261,1,"s.Jungle_cat,s.Sand_cat","10444","258.094","0.733"
"10446_465.283_4.289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10446_465.283_4.289",0.67538163350597,3,1,"s.Simplegut",0.530537302325299,3,1,"s.Omnivores",0.67538163350597,12,1,"s.Carnivora,s.Primates",0.88689966847871,135,0.00638,"s.Capuchin,s.Gorilla","10446","465.283","4.289"
"10470_471.306_6.511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10470_471.306_6.511",0.989566790610591,1,0.00294,"s.Foregut",0.507649004108729,4,1,"s.Carnivores,s.Herbivores",0.978917865977286,3,0.00319,"s.Cetartiodactyla",0.85440383399131,220,1,"s.Goat,s.Sheep","10470","471.306","6.511"
"1055_479.298_5.575","Connected","N/A","N/A",5.5746,5.5746,0,"N/A",0.019110091,34,82,34,479.2982,1,479.2982,0.019110091,1055,479.298,5.575,0.019110091,"Triterpenoids","Unclassified-3","","no_matches","no_matches",87,"no_matches","no_matches",NA,"1055_479.298_5.575",0.879049072991533,4,0.00294,"s.Foregut,s.Hindgut",0.824621125123532,2,0.00298,"s.Herbivores",0.97182531580755,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.793732758664517,182,0.00319,"s.Donkey,s.Goat","1055","479.298","5.575"
"10564_374.304_5.954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10564_374.304_5.954",0.495594627783352,3,1,"s.Simplegut",0.998993714215509,1,0.00298,"s.Carnivores",0.692056238913587,2,0.37323,"s.Carnivora",0.79556786161051,244,1,"s.Hyena,s.Tiger","10564","374.304","5.954"
"10771_471.307_6.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10771_471.307_6.41",0.994575839554507,1,0.00294,"s.Foregut",0.562479207311476,2,1,"s.Herbivores",0.99142608960187,3,0.00319,"s.Cetartiodactyla",0.968349084818834,220,0.00957,"s.Goat,s.Sheep","10771","471.307","6.41"
"1133_428.346_4.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1133_428.346_4.36",0.707106781186548,2,0.97314,"s.Hindgut",0.616441400296898,2,0.3278,"s.Herbivores",0.727256858045296,4,0.15631,"s.Perissodactyla",0.970036275837657,195,0.00319,"s.Donkey,s.Zebra","1133","428.346","4.36"
"1148_301.139_2.202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1148_301.139_2.202",0.941468871691272,4,0.00294,"s.Foregut,s.Hindgut",0.883176086632785,2,0.00298,"s.Herbivores",0.941468871691272,19,0.00319,"s.Afrotheria,s.Cetartiodactyla,s.Perissodactyla",0.7240134340237,222,0.00319,"s.Goat,s.Zebra","1148","301.139","2.202"
"1170_424.28_6.779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1170_424.28_6.779",0.801314709186032,6,1,"s.Hindgut,s.Simplegut",0.832575412909736,6,0.00596,"s.Herbivores,s.Omnivores",0.947131893417919,21,0.00319,"s.Afrotheria,s.Perissodactyla,s.Primates",0.641695875647289,164,1,"s.Chimp,s.Zebra","1170","424.28","6.779"
"11711_312.2_1.719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11711_312.2_1.719",0.710977571847876,5,1,"s.Foregut,s.Simplegut",0.824854953961461,1,0.00298,"s.Carnivores",0.890300395982249,2,0.00319,"s.Carnivora",0.654400274179218,278,1,"s.Leopard,s.Tiger","11711","312.2","1.719"
"11712_399.324_7.145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11712_399.324_7.145",0.408792609781515,5,1,"s.Foregut,s.Simplegut",0.826688329376907,1,0.00298,"s.Carnivores",0.557072335970068,2,1,"s.Carnivora",0.80811373296849,263,1,"s.Jungle_cat,s.Tiger","11712","399.324","7.145"
"11777_338.194_2.771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11777_338.194_2.771",0.324442842261525,3,1,"s.Simplegut",0.679366220486757,1,0.00298,"s.Carnivores",0.471404520791032,2,1,"s.Carnivora",0.992320197606088,278,0.06061,"s.Leopard,s.Tiger","11777","338.194","2.771"
"1181_312.2_1.664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1181_312.2_1.664",0.753864659878254,5,1,"s.Foregut,s.Simplegut",0.785783088869337,1,0.00894,"s.Carnivores",0.8641869124412,2,0.00638,"s.Carnivora",0.590207356140758,238,1,"s.Hyena,s.Leopard","1181","312.2","1.664"
"1182_449.324_5.301","Connected","N/A","N/A",5.3008,5.3008,0,"N/A",0.009422973,34,82,34,449.3243,1,449.3243,0.009422973,1182,449.324,5.301,0.009422973,"Triterpenoids","Pellets-6","","no_matches","no_matches",87,"no_matches","no_matches",NA,"1182_449.324_5.301",0.977191065729061,1,0.00294,"s.Foregut",0.659749625708107,2,0.80162,"s.Herbivores",0.968866205899364,3,0.00319,"s.Cetartiodactyla",0.911272810711298,220,0.00319,"s.Goat,s.Sheep","1182","449.324","5.301"
"12008_373.272_4.486","Connected","Spectral_Match_to_Cholic_acid_from_NIST14","0.816466",4.4858,4.4858,0,"CCMSLIB00003135149",0.014913042,28,137,28,373.2722,1,373.2722,0.014913042,12008,373.272,4.486,0.014913042,"Bile acids","Cholic acid 1",NA,NA,NA,NA,NA,NA,NA,"12008_373.272_4.486",0.685886189889189,3,1,"s.Simplegut",0.897577683843698,1,0.00298,"s.Carnivores",0.913257536430616,2,0.01595,"s.Carnivora",0.827514390956423,273,1,"s.Leopard,s.Lion","12008","373.272","4.486"
"12023_479.382_4.357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12023_479.382_4.357",0.374634324632678,3,1,"s.Simplegut",0.677262588062266,1,0.00298,"s.Carnivores",0.50826383139487,2,1,"s.Carnivora",0.86674419834068,284,1,"s.Lion,s.Tiger","12023","479.382","4.357"
"12024_358.281_5.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12024_358.281_5.57",0.622340722264001,3,1,"s.Simplegut",0.876812624849333,1,0.00298,"s.Carnivores",0.847411025847759,2,0.01276,"s.Carnivora",0.807106013357159,278,1,"s.Leopard,s.Tiger","12024","358.281","5.57"
"12413_376.291_5.832","Connected","N/A","N/A",5.8316,5.8316,0,"N/A",0.006848127,24,51,24,376.2912,1,376.2912,0.006848127,12413,376.291,5.832,0.006848127,"Bile acids","Isolithocholic acid 1","Isolithocholic acid is third node in cluster, high confidence in silico NAP ID.","no_matches","no_matches",3,"no_matches","no_matches",NA,"12413_376.291_5.832",0.617213399848368,5,1,"s.Foregut,s.Simplegut",0.988835277709408,1,0.00298,"s.Carnivores",0.747451638851103,10,0.23287,"s.Carnivora,s.Cetartiodactyla",0.731747559780087,263,1,"s.Jungle_cat,s.Tiger","12413","376.291","5.832"
"12567_375.212_4.718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12567_375.212_4.718",0.606976978666884,3,1,"s.Simplegut",0.692865212906954,3,0.04172,"s.Omnivores",0.702761209438835,2,0.41151,"s.Carnivora",0.879991698988847,70,0.13717,"s.Black_bear,s.Brown_bear","12567","375.212","4.718"
"12702_433.329_7.606","Connected","N/A","N/A",7.6063,7.6063,0,"N/A",0.020097726,47,82,47,433.3294,1,433.3294,0.020097726,12702,433.329,7.606,0.020097726,"Triterpenoids","Pellets-13","","no_matches","no_matches",87,"no_matches","no_matches",NA,"12702_433.329_7.606",0.960313444168163,1,0.00294,"s.Foregut",0.789053451214605,2,0.03278,"s.Herbivores",0.977891952986628,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.898056837663056,220,0.00319,"s.Goat,s.Sheep","12702","433.329","7.606"
"1275_303.169_4.133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1275_303.169_4.133",0.829063807934428,5,0.70266,"s.Foregut,s.Simplegut",0.933638450635805,1,0.00298,"s.Carnivores",0.840295590438714,23,0.03828,"s.Carnivora,s.Cetartiodactyla,s.Primates",0.612604672421478,278,1,"s.Leopard,s.Tiger","1275","303.169","4.133"
"12788_464.281_4.693","Connected","taurohyodeoxycholic_acid","0.797751",4.6931,4.6931,0,"CCMSLIB00005435583",0.007610319,20,762,20,464.2812,1,464.2812,0.007610319,12788,464.281,4.693,0.007610319,"Bile acids","Taurohyodeoxycholic acid 3",NA,NA,NA,NA,NA,NA,NA,"12788_464.281_4.693",0.592348877759092,3,1,"s.Simplegut",0.950361758815065,1,0.00298,"s.Carnivores",0.835319267964955,2,0.08294,"s.Carnivora",0.886444652117511,236,1,"s.Hyena,s.Jungle_cat","12788","464.281","4.693"
"1285_415.319_6.79","Connected","N/A","N/A",6.7901,6.7901,0,"N/A",0.01105483,42,137,42,415.3188,1,415.3188,0.01105483,1285,415.319,6.79,0.01105483,"Bile acids","THCA (C27) 1","THCA 3a,7a,12a-trihydroxy-5ï¬‚-cholestanoic acid (precursor to cholic acid in biosynthetic pathway)","Steroids_and_steroid_derivatives","Trihydroxy_bile_acids,_alcohols_and_derivatives",88,"Bile_acids,_alcohols_and_derivatives","Lipids_and_lipid-like_molecules",NA,"1285_415.319_6.79",0.785012188395467,1,1,"s.Foregut",0.957269026205923,1,0.00298,"s.Carnivores",0.871271407252222,10,0.04147,"s.Carnivora,s.Cetartiodactyla",0.750843469689145,278,1,"s.Leopard,s.Tiger","1285","415.319","6.79"
"12869_209.116_5.851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12869_209.116_5.851",0.397359707119513,3,1,"s.Simplegut",0.675811346744344,1,0.00596,"s.Carnivores",0.46441171300861,2,1,"s.Carnivora",0.792468177874824,239,1,"s.Hyena,s.Lion","12869","209.116","5.851"
"13019_190.071_1.503","Connected","Spectral_Match_to_N-Acetyl-L-glutamic_acid_from_NIST14","0.907098",1.5027,1.5027,0,"CCMSLIB00003138157",0.0184381,53,6315,53,190.0705,1,190.0705,0.0184381,13019,190.071,1.503,0.0184381,"N-acyl AA",NA,NA,NA,NA,NA,NA,NA,NA,"13019_190.071_1.503",0.955133865881839,3,0.00294,"s.Simplegut",0.882955681816616,5,0.00298,"s.Carnivores,s.Omnivores",0.955133865881839,12,0.00319,"s.Carnivora,s.Primates",0.570004896854499,229,1,"s.Gorilla,s.Mandrill","13019","190.071","1.503"
"1311_428.346_3.965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1311_428.346_3.965",0.725476250110012,2,0.88788,"s.Hindgut",0.632455532033676,2,0.32184,"s.Herbivores",0.855977602438513,1,0.00638,"s.Afrotheria",0.865303668875247,25,1,"s.African_elephant,s.Asian_elephant","1311","428.346","3.965"
"13411_433.329_8.407","Connected","N/A","N/A",8.407,8.407,0,"N/A",0.014953868,27,82,27,433.3294,1,433.3294,0.014953868,13411,433.329,8.407,0.014953868,"Triterpenoids","Oat-straw-10","","no_matches","no_matches",87,"no_matches","no_matches",NA,"13411_433.329_8.407",0.987929213372584,1,0.00294,"s.Foregut",0.734846922834953,2,0.04768,"s.Herbivores",0.984783472923822,3,0.00319,"s.Cetartiodactyla",0.981875860576671,220,0.00319,"s.Goat,s.Sheep","13411","433.329","8.407"
"1352_440.275_6.296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1352_440.275_6.296",0.717531522059146,7,NA,"s.Foregut,s.Hindgut,s.Simplegut",0.758458974880163,6,0.33972,"s.Herbivores,s.Omnivores",0.828749386954833,21,0.01914,"s.Afrotheria,s.Perissodactyla,s.Primates",0.803312334373447,30,0.37642,"s.African_elephant,s.Chimp","1352","440.275","6.296"
"13545_273.144_1.951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13545_273.144_1.951",0.890425139627227,4,0.00294,"s.Foregut,s.Hindgut",0.792920224150025,4,0.00298,"s.Carnivores,s.Herbivores",0.891350864101017,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.623397391953935,220,1,"s.Goat,s.Sheep","13545","273.144","1.951"
"1355_456.377_4.395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1355_456.377_4.395",0.858395075278952,2,0.0588,"s.Hindgut",0.748331477354788,2,0.03278,"s.Herbivores",0.858395075278952,8,0.01914,"s.Afrotheria,s.Perissodactyla",0.871946016520575,47,1,"s.African_elephant,s.Zebra","1355","456.377","4.395"
"13747_450.328_6.275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13747_450.328_6.275",0.949472799375059,1,0.00294,"s.Foregut",0.831594383029873,4,0.00596,"s.Carnivores,s.Herbivores",0.988150603244347,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.887817044874203,220,0.00319,"s.Goat,s.Sheep","13747","450.328","6.275"
"13865_453.228_4.883","Connected","N/A","N/A",4.8825,4.8825,0,"N/A",0.007028751,10,137,10,453.2285,1,453.2285,0.007028751,13865,453.228,4.883,0.007028751,"Bile acids","Cholic acid 7-sulfate 1","Cholic acid 7-sulfate","Steroids_and_steroid_derivatives","Trihydroxy_bile_acids,_alcohols_and_derivatives",88,"Bile_acids,_alcohols_and_derivatives","Lipids_and_lipid-like_molecules",NA,"13865_453.228_4.883",0.418853908291695,3,1,"s.Simplegut",0.783197760228495,1,0.00298,"s.Carnivores",0.608580619450185,2,1,"s.Carnivora",0.947542766202725,278,1,"s.Leopard,s.Tiger","13865","453.228","4.883"
"13866_184.133_2.524","Connected","N/A","N/A",2.5243,2.5243,0,"N/A",0.010642931,7,43,7,184.1328,1,184.1328,0.010642931,13866,184.133,2.524,0.010642931,"Flavonoids","FL 1 (m/z 184.139)","Flavonol. In silico/MolNetEnhancer.","Flavonoids","Flavonols",66,"Flavones","Phenylpropanoids_and_polyketides",NA,"13866_184.133_2.524",0.350438322025231,3,1,"s.Simplegut",0.733799385705343,1,0.00298,"s.Carnivores",0.509175077217316,2,1,"s.Carnivora",0.897622841967787,244,1,"s.Hyena,s.Tiger","13866","184.133","2.524"
"1395_206.044_2.419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1395_206.044_2.419",0.873471778098284,4,0.00588,"s.Foregut,s.Hindgut",0.891882585015845,6,0.00298,"s.Herbivores,s.Omnivores",0.896151327809075,25,0.00319,"s.Cetartiodactyla,s.Perissodactyla,s.Primates",0.727614497200188,234,0.00319,"s.Gorilla,s.Zebra","1395","206.044","2.419"
