,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,componentindex,number_of_spectra,parent_mass,precursor_charge,precursor_mass,sum(precursor_intensity),V1,V2,V3,sum.precursor_intensity.,Chemical_family,Name,Notes,CF_class,CF_Dparent,CF_NrNodes,CF_subclass,CF_superclass,Compound_Name,id,stat.x,index.x,p.value_gut,groups.x,stat.y,index.y,p.value_diet,groups.y,stat.x,index.x,p.value_kt,groups.x,stat.y,index.y,p.value_host,groups.y,V1,V2,V3
13866_184.133_2.524,Connected,N/A,N/A,2.5243,2.5243,0,N/A,0.010642931,7,43,7,184.1328,1,184.1328,0.010642931,13866,184.133,2.524,0.010642931,Flavonoids,Flavonoid 1 (m/z 184.139),Flavonol. In silico/MolNetEnhancer.,Flavonoids,Flavonols,66,Flavones,Phenylpropanoids_and_polyketides,NA,13866_184.133_2.524,0.350438322,3,1,s.Simplegut,0.733799386,1,0.00298,s.Carnivores,0.509175077,2,1,s.Carnivora,0.897622842,244,1,"s.Hyena,s.Tiger",13866,184.133,2.524
289_349.127_2.727,Connected,N/A,N/A,2.7266,2.7266,0,N/A,0.180041045,39,2367,39,349.127,1,349.127,0.180041045,289,349.127,2.727,0.180041045,Flavonoids,Flavonoid 2 (m/z 349.127),In silico NAP ID. ,no_matches,no_matches,8,no_matches,no_matches,NA,289_349.127_2.727,0.904534034,4,0.00294,"s.Foregut,s.Hindgut",0.848528137,2,0.00298,s.Herbivores,1,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.818949198,220,0.00319,"s.Goat,s.Sheep",289,349.127,2.727
439_313.106_4.908,Connected,N/A,N/A,4.9076,4.9076,0,N/A,0.015063905,42,926,42,313.1057,1,313.1057,0.015063905,439,313.106,4.908,0.015063905,Flavonoids,Flavonoid 3 (m/z 313.106),O-methylated flavonoid based on NAP.,Flavonoids,8-O-methylated_flavonoids,10,O-methylated_flavonoids,Phenylpropanoids_and_polyketides,NA,439_313.106_4.908,0.94151577,1,0.00294,s.Foregut,0.883176087,2,0.00298,s.Herbivores,0.973993716,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.917172985,220,0.00319,"s.Goat,s.Sheep",439,313.106,4.908
304_447.309_7.242,Connected,N/A,N/A,7.2424,7.2424,0,N/A,0.034250686,42,82,42,447.3089,1,447.3089,0.034250686,304,447.309,7.242,0.034250686,Triterpenoids,Oat straw 1 (m/z 447.309),,no_matches,no_matches,87,no_matches,no_matches,NA,304_447.309_7.242,0.903477191,4,0.00882,"s.Foregut,s.Hindgut",0.841526388,2,0.00298,s.Herbivores,0.997890229,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.790146261,218,0.0319,"s.Goat,s.Rhino",304,447.309,7.242
277_433.329_7.715,Connected,N/A,N/A,7.7149,7.7149,0,N/A,0.695360011,53,82,53,433.3294,1,433.3294,0.695360011,277,433.329,7.715,0.695360011,Triterpenoids,Oat straw 2 (m/z 433.329),,no_matches,no_matches,87,no_matches,no_matches,NA,277_433.329_7.715,0.916224327,4,0.00294,"s.Foregut,s.Hindgut",0.886360488,2,0.00298,s.Herbivores,0.998197191,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.835678584,220,0.00319,"s.Goat,s.Sheep",277,433.329,7.715
341_447.309_7.748,Connected,N/A,N/A,7.7477,7.7477,0,N/A,0.033590403,39,82,39,447.309,1,447.309,0.033590403,341,447.309,7.748,0.033590403,Triterpenoids,Oat straw 3 (m/z 447.3294),,no_matches,no_matches,87,no_matches,no_matches,NA,341_447.309_7.748,0.909188571,1,0.00588,s.Foregut,0.797287773,2,0.00298,s.Herbivores,0.980809713,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.822294152,220,0.00638,"s.Goat,s.Sheep",341,447.309,7.748
314_433.329_7.849,Connected,N/A,N/A,7.8485,7.8485,0,N/A,0.111218696,45,82,45,433.3294,1,433.3294,0.111218696,314,433.329,7.849,0.111218696,Triterpenoids,Oat straw 4 (m/z 433.3294),,no_matches,no_matches,87,no_matches,no_matches,NA,314_433.329_7.849,0.965541203,1,0.00294,s.Foregut,0.892608388,2,0.00298,s.Herbivores,0.998989993,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.937440837,220,0.00319,"s.Goat,s.Sheep",314,433.329,7.849
379_431.314_7.856,Connected,N/A,N/A,7.8563,7.8563,0,N/A,0.044123919,46,82,46,431.3138,1,431.3138,0.044123919,379,431.314,7.856,0.044123919,Triterpenoids,Oat straw 5 (m/z 431.314),,no_matches,no_matches,87,no_matches,no_matches,NA,379_431.314_7.856,0.931638427,1,0.00294,s.Foregut,0.838855811,2,0.00298,s.Herbivores,0.993727537,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.822764015,220,1,"s.Goat,s.Sheep",379,431.314,7.856
288_433.329_7.978,Connected,N/A,N/A,7.978,7.978,0,N/A,0.312173897,43,82,43,433.3294,1,433.3294,0.312173897,288,433.329,7.978,0.312173897,Triterpenoids,Oat straw 6 (m/z 433.329),,no_matches,no_matches,87,no_matches,no_matches,NA,288_433.329_7.978,0.92526659,1,0.00294,s.Foregut,0.86994551,2,0.00298,s.Herbivores,0.999467454,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.859823602,220,0.00319,"s.Goat,s.Sheep",288,433.329,7.978
372_415.319_8.194,Connected,N/A,N/A,8.1944,8.1944,0,N/A,0.05326275,43,82,43,415.3188,1,415.3188,0.05326275,372,415.319,8.194,0.05326275,Triterpenoids,Oat straw 7  (m/z 415.319),,no_matches,no_matches,87,no_matches,no_matches,NA,372_415.319_8.194,0.954822546,1,0.00294,s.Foregut,0.841996515,2,0.00298,s.Herbivores,0.998312648,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.929639917,220,0.00319,"s.Goat,s.Sheep",372,415.319,8.194
1935_433.329_8.196,Connected,N/A,N/A,8.196,8.196,0,N/A,0.849561093,54,82,54,433.3294,1,433.3294,0.849561093,1935,433.329,8.196,0.849561093,Triterpenoids,Oat straw 8  (m/z 433.329),,no_matches,no_matches,87,no_matches,no_matches,NA,1935_433.329_8.196,0.928691034,4,0.00294,"s.Foregut,s.Hindgut",0.92406916,2,0.00298,s.Herbivores,0.998339397,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.841289615,220,0.00319,"s.Goat,s.Sheep",1935,433.329,8.196
347_431.314_8.3,Connected,N/A,N/A,8.3004,8.3004,0,N/A,0.094257966,40,82,40,431.3138,1,431.3138,0.094257966,347,431.314,8.3,0.094257966,Triterpenoids,Oat straw 9  (m/z 431.314),,no_matches,no_matches,87,no_matches,no_matches,NA,347_431.314_8.3,0.966802724,1,0.00294,s.Foregut,0.860232527,2,0.00298,s.Herbivores,0.999780446,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.928195205,220,0.00319,"s.Goat,s.Sheep",347,431.314,8.3
13411_433.329_8.407,Connected,N/A,N/A,8.407,8.407,0,N/A,0.014953868,27,82,27,433.3294,1,433.3294,0.014953868,13411,433.329,8.407,0.014953868,Triterpenoids,Oat straw 10  (m/z 433.329),,no_matches,no_matches,87,no_matches,no_matches,NA,13411_433.329_8.407,0.987929213,1,0.00294,s.Foregut,0.734846923,2,0.04768,s.Herbivores,0.984783473,3,0.00319,s.Cetartiodactyla,0.981875861,220,0.00319,"s.Goat,s.Sheep",13411,433.329,8.407
2084_465.319_4.166,Connected,N/A,N/A,4.1659,4.1659,0,N/A,0.029551044,31,82,31,465.319,1,465.319,0.029551044,2084,465.319,4.166,0.029551044,Triterpenoids,Pellets 1  (m/z 465.319),,no_matches,no_matches,87,no_matches,no_matches,NA,2084_465.319_4.166,0.79352287,4,0.18228,"s.Foregut,s.Hindgut",0.721445859,2,0.02086,s.Herbivores,0.873831083,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.853308889,195,0.00319,"s.Donkey,s.Zebra",2084,465.319,4.166
2125_465.319_4.344,Connected,N/A,N/A,4.3438,4.3438,0,N/A,0.03117767,38,82,38,465.3191,1,465.3191,0.03117767,2125,465.319,4.344,0.03117767,Triterpenoids,Pellets 2  (m/z 465.319),,no_matches,no_matches,87,no_matches,no_matches,NA,2125_465.319_4.344,0.889902151,4,0.00588,"s.Foregut,s.Hindgut",0.822050639,2,0.00298,s.Herbivores,0.982096591,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.815487564,195,0.00319,"s.Donkey,s.Zebra",2125,465.319,4.344
349_465.319_4.619,Connected,N/A,N/A,4.6193,4.6193,0,N/A,0.042478152,43,82,43,465.319,1,465.319,0.042478152,349,465.319,4.619,0.042478152,Triterpenoids,Pellets 3  (m/z 465.319),,no_matches,no_matches,87,no_matches,no_matches,NA,349_465.319_4.619,0.897529143,4,0.00294,"s.Foregut,s.Hindgut",0.837827312,2,0.00298,s.Herbivores,0.987334944,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.764416324,195,0.00319,"s.Donkey,s.Zebra",349,465.319,4.619
2611_465.319_4.913,Connected,N/A,N/A,4.9125,4.9125,0,N/A,0.0210706,44,82,44,465.319,1,465.319,0.0210706,2611,465.319,4.913,0.0210706,Triterpenoids,Pellets 4  (m/z 465.319),,no_matches,no_matches,87,no_matches,no_matches,NA,2611_465.319_4.913,0.898796346,4,0.00294,"s.Foregut,s.Hindgut",0.823556844,2,0.00298,s.Herbivores,0.988535097,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.728272097,220,0.00319,"s.Goat,s.Sheep",2611,465.319,4.913
701_449.324_5.178,Connected,N/A,N/A,5.1785,5.1785,0,N/A,0.018142953,45,82,45,449.3243,1,449.3243,0.018142953,701,449.324,5.178,0.018142953,Triterpenoids,Pellets 5  (m/z 449.324),,no_matches,no_matches,87,no_matches,no_matches,NA,701_449.324_5.178,0.966010715,1,0.00294,s.Foregut,0.779171768,4,0.05662,"s.Carnivores,s.Herbivores",0.954838454,3,0.00319,s.Cetartiodactyla,0.904672545,220,0.00319,"s.Goat,s.Sheep",701,449.324,5.178
1182_449.324_5.301,Connected,N/A,N/A,5.3008,5.3008,0,N/A,0.009422973,34,82,34,449.3243,1,449.3243,0.009422973,1182,449.324,5.301,0.009422973,Triterpenoids,Pellets 6  (m/z 449.324),,no_matches,no_matches,87,no_matches,no_matches,NA,1182_449.324_5.301,0.977191066,1,0.00294,s.Foregut,0.659749626,2,0.80162,s.Herbivores,0.968866206,3,0.00319,s.Cetartiodactyla,0.911272811,220,0.00319,"s.Goat,s.Sheep",1182,449.324,5.301
696_449.324_5.419,Connected,N/A,N/A,5.4189,5.4189,0,N/A,0.023487968,45,82,45,449.3244,1,449.3244,0.023487968,696,449.324,5.419,0.023487968,Triterpenoids,Pellets 7  (m/z 449.324),,no_matches,no_matches,87,no_matches,no_matches,NA,696_449.324_5.419,0.959421274,1,0.00294,s.Foregut,0.806619692,2,0.0149,s.Herbivores,0.995002225,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.923692688,220,0.00319,"s.Goat,s.Sheep",696,449.324,5.419
448_463.303_5.746,Connected,N/A,N/A,5.7461,5.7461,0,N/A,0.019718255,40,82,40,463.3034,1,463.3034,0.019718255,448,463.303,5.746,0.019718255,Triterpenoids,Pellets 8  (m/z 463.303),,no_matches,no_matches,87,no_matches,no_matches,NA,448_463.303_5.746,0.903602537,4,0.00294,"s.Foregut,s.Hindgut",0.8329348,2,0.00298,s.Herbivores,0.997932158,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.803738718,220,0.00319,"s.Goat,s.Sheep",448,463.303,5.746
832_449.324_5.964,Connected,N/A,N/A,5.9638,5.9638,0,N/A,0.028484721,52,82,52,449.3243,1,449.3243,0.028484721,832,449.324,5.964,0.028484721,Triterpenoids,Pellets 9  (m/z 449.324),,no_matches,no_matches,87,no_matches,no_matches,NA,832_449.324_5.964,0.968158241,1,0.00294,s.Foregut,0.844620268,4,0.0149,"s.Carnivores,s.Herbivores",0.99282575,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.920020823,220,0.00319,"s.Goat,s.Sheep",832,449.324,5.964
1009_447.309_6.38,Connected,N/A,N/A,6.3804,6.3804,0,N/A,0.017004729,43,82,43,447.309,1,447.309,0.017004729,1009,447.309,6.38,0.017004729,Triterpenoids,Pellets 10  (m/z 447.309),,no_matches,no_matches,87,no_matches,no_matches,NA,1009_447.309_6.38,0.96400161,1,0.00294,s.Foregut,0.809551561,2,0.01192,s.Herbivores,0.983142714,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.926993817,220,0.00319,"s.Goat,s.Sheep",1009,447.309,6.38
8484_447.309_6.53,Connected,N/A,N/A,6.53,6.53,0,N/A,0.025648793,46,82,46,447.309,1,447.309,0.025648793,8484,447.309,6.53,0.025648793,Triterpenoids,Pellets 11 (m/z 447.309),,no_matches,no_matches,87,no_matches,no_matches,NA,8484_447.309_6.53,0.958330293,1,0.00294,s.Foregut,0.822699921,2,0.00596,s.Herbivores,0.995059156,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.892874682,220,0.00319,"s.Goat,s.Sheep",8484,447.309,6.53
485_449.324_6.966,Connected,N/A,N/A,6.9661,6.9661,0,N/A,0.022332218,48,82,48,449.3244,1,449.3244,0.022332218,485,449.324,6.966,0.022332218,Triterpenoids,Pellets 12 (m/z 449.324),,no_matches,no_matches,87,no_matches,no_matches,NA,485_449.324_6.966,0.920738006,1,0.00294,s.Foregut,0.793784343,4,0.01192,"s.Carnivores,s.Herbivores",0.982805433,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.841231966,220,0.00319,"s.Goat,s.Sheep",485,449.324,6.966
12702_433.329_7.606,Connected,N/A,N/A,7.6063,7.6063,0,N/A,0.020097726,47,82,47,433.3294,1,433.3294,0.020097726,12702,433.329,7.606,0.020097726,Triterpenoids,Pellets 13  (m/z 433.329),,no_matches,no_matches,87,no_matches,no_matches,NA,12702_433.329_7.606,0.960313444,1,0.00294,s.Foregut,0.789053451,2,0.03278,s.Herbivores,0.977891953,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.898056838,220,0.00319,"s.Goat,s.Sheep",12702,433.329,7.606
1982_479.298_5.102,Connected,N/A,N/A,5.1022,5.1022,0,N/A,0.034216873,35,82,35,479.2981,1,479.2981,0.034216873,1982,479.298,5.102,0.034216873,Triterpenoids,Unclassified 1 (m/z 479.298),,no_matches,no_matches,87,no_matches,no_matches,NA,1982_479.298_5.102,0.891882585,4,0.00294,"s.Foregut,s.Hindgut",0.836660027,2,0.00298,s.Herbivores,0.986013297,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.793405148,222,0.00319,"s.Goat,s.Zebra",1982,479.298,5.102
902_477.282_5.479,Connected,N/A,N/A,5.4792,5.4792,0,N/A,0.027120744,36,82,36,477.2822,1,477.2822,0.027120744,902,477.282,5.479,0.027120744,Triterpenoids,Unclassified 2 (m/z 477.282),,no_matches,no_matches,87,no_matches,no_matches,NA,902_477.282_5.479,0.904534034,4,0.00294,"s.Foregut,s.Hindgut",0.848528137,2,0.00298,s.Herbivores,1,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.826196833,195,0.00319,"s.Donkey,s.Zebra",902,477.282,5.479
1055_479.298_5.575,Connected,N/A,N/A,5.5746,5.5746,0,N/A,0.019110091,34,82,34,479.2982,1,479.2982,0.019110091,1055,479.298,5.575,0.019110091,Triterpenoids,Unclassified 3 (m/z 479.298),,no_matches,no_matches,87,no_matches,no_matches,NA,1055_479.298_5.575,0.879049073,4,0.00294,"s.Foregut,s.Hindgut",0.824621125,2,0.00298,s.Herbivores,0.971825316,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.793732759,182,0.00319,"s.Donkey,s.Goat",1055,479.298,5.575
775_479.298_5.654,Connected,N/A,N/A,5.6544,5.6544,0,N/A,0.018145112,36,82,36,479.2981,1,479.2981,0.018145112,775,479.298,5.654,0.018145112,Triterpenoids,Unclassified 4 (m/z 479.298),,no_matches,no_matches,87,no_matches,no_matches,NA,775_479.298_5.654,0.904534034,4,0.00294,"s.Foregut,s.Hindgut",0.848528137,2,0.00298,s.Herbivores,1,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.787525241,220,0.00319,"s.Goat,s.Sheep",775,479.298,5.654
307_479.298_5.802,Connected,N/A,N/A,5.8021,5.8021,0,N/A,0.0301824,36,82,36,479.2981,1,479.2981,0.0301824,307,479.298,5.802,0.0301824,Triterpenoids,Unclassified 5 (m/z 479.298),,no_matches,no_matches,87,no_matches,no_matches,NA,307_479.298_5.802,0.904534034,4,0.00294,"s.Foregut,s.Hindgut",0.848528137,2,0.00298,s.Herbivores,1,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.816085051,218,0.00319,"s.Goat,s.Rhino",307,479.298,5.802
632_465.319_4.427,Connected,N/A,N/A,4.4271,4.4271,0,N/A,0.03306836,43,82,43,465.319,1,465.319,0.03306836,632,465.319,4.427,0.03306836,Triterpenoids,Wheat straw 1 (m/z 465.319),,no_matches,no_matches,87,no_matches,no_matches,NA,632_465.319_4.427,0.899265739,4,0.00294,"s.Foregut,s.Hindgut",0.820907501,2,0.00298,s.Herbivores,0.990103122,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.838239607,195,0.00319,"s.Donkey,s.Zebra",632,465.319,4.427
716_465.319_4.772,Connected,N/A,N/A,4.7722,4.7722,0,N/A,0.055072993,44,82,44,465.319,1,465.319,0.055072993,716,465.319,4.772,0.055072993,Triterpenoids,Wheat straw 2 (m/z 465.319),,no_matches,no_matches,87,no_matches,no_matches,NA,716_465.319_4.772,0.901139775,4,0.01764,"s.Foregut,s.Hindgut",0.831666346,2,0.00596,s.Herbivores,0.993548543,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.869414557,195,0.00638,"s.Donkey,s.Zebra",716,465.319,4.772
19535_447.309_4.846,Connected,N/A,N/A,4.8462,4.8462,0,N/A,0.022832376,40,82,40,447.3088,1,447.3088,0.022832376,19535,447.309,4.846,0.022832376,Triterpenoids,Wheat straw 3 (m/z 447.309),,no_matches,no_matches,87,no_matches,no_matches,NA,19535_447.309_4.846,0.888354894,4,0.00294,"s.Foregut,s.Hindgut",0.806660027,2,0.00298,s.Herbivores,0.978799618,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.724176547,182,0.00319,"s.Donkey,s.Goat",19535,447.309,4.846
608_479.298_4.849,Connected,N/A,N/A,4.8493,4.8493,0,N/A,0.163541658,38,82,38,479.2981,1,479.2981,0.163541658,608,479.298,4.849,0.163541658,Triterpenoids,Wheat straw 4 (m/z 479.298),,no_matches,no_matches,87,no_matches,no_matches,NA,608_479.298_4.849,0.903482612,4,0.00588,"s.Foregut,s.Hindgut",0.84616403,2,0.00298,s.Herbivores,0.998176749,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.913365518,195,0.00319,"s.Donkey,s.Zebra",608,479.298,4.849
2573_461.287_4.877,Connected,N/A,N/A,4.8774,4.8774,0,N/A,0.028456486,36,82,36,461.2873,1,461.2873,0.028456486,2573,461.287,4.877,0.028456486,Triterpenoids,Wheat straw 5 (m/z 461.287),,no_matches,no_matches,87,no_matches,no_matches,NA,2573_461.287_4.877,0.864225133,4,0.02646,"s.Foregut,s.Hindgut",0.807786834,2,0.00298,s.Herbivores,0.953867204,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.854086013,195,0.00319,"s.Donkey,s.Zebra",2573,461.287,4.877
316_463.303_5.956,Connected,N/A,N/A,5.9563,5.9563,0,N/A,0.058014666,47,82,47,463.3033,1,463.3033,0.058014666,316,463.303,5.956,0.058014666,Triterpenoids,Wheat straw 6 (m/z 463.303),,no_matches,no_matches,87,no_matches,no_matches,NA,316_463.303_5.956,0.925795948,1,0.00294,s.Foregut,0.826331245,2,0.00596,s.Herbivores,0.996950966,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.839671759,220,0.00319,"s.Goat,s.Sheep",316,463.303,5.956
558_463.303_6.035,Connected,N/A,N/A,6.0349,6.0349,0,N/A,0.034450175,45,82,45,463.3033,1,463.3033,0.034450175,558,463.303,6.035,0.034450175,Triterpenoids,Wheat straw 7 (m/z 463.303),,no_matches,no_matches,87,no_matches,no_matches,NA,558_463.303_6.035,0.902235157,4,0.00294,"s.Foregut,s.Hindgut",0.823377992,2,0.00298,s.Herbivores,0.99515878,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.725989578,182,0.49126,"s.Donkey,s.Goat",558,463.303,6.035
352_463.303_6.12,Connected,N/A,N/A,6.1199,6.1199,0,N/A,0.045411979,40,82,40,463.3033,1,463.3033,0.045411979,352,463.303,6.12,0.045411979,Triterpenoids,Wheat straw 8 (m/z 463.303),,no_matches,no_matches,87,no_matches,no_matches,NA,352_463.303_6.12,0.904185418,4,0.00294,"s.Foregut,s.Hindgut",0.845052565,2,0.00298,s.Herbivores,0.999274517,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.764263852,182,0.00319,"s.Donkey,s.Goat",352,463.303,6.12
415_463.303_6.203,Connected,N/A,N/A,6.203,6.203,0,N/A,0.026650624,38,82,38,463.3033,1,463.3033,0.026650624,415,463.303,6.203,0.026650624,Triterpenoids,Wheat straw 9 (m/z 463.303),,no_matches,no_matches,87,no_matches,no_matches,NA,415_463.303_6.203,0.944228618,1,0.00294,s.Foregut,0.848528137,2,0.00298,s.Herbivores,1,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.918415084,220,0.00319,"s.Goat,s.Sheep",415,463.303,6.203